dataset,model,model_size_mb
dagm,efficientnet_b0_pruned,15.326905250549316
dagm,efficientnet_b0_pruned,15.326905250549316
dagm,efficientnet_b0_pruned,15.326905250549316
dagm,efficientnet_b0_pruned,15.326905250549316
dagm,efficientnet_b0,15.326905250549316
dagm,efficientnet_b0,20.171878814697266
dagm,efficientnet_b0,15.326905250549316
dagm,efficientnet_b0,20.171878814697266
dagm,efficientnet_b0,15.326905250549316
dagm,efficientnet_b0,20.171878814697266
dagm,efficientnet_b0,15.326905250549316
dagm,efficientnet_b0,20.171878814697266
dagm,mobilenet_v3_large_pruned,16.073893547058105
dagm,mobilenet_v3_large_pruned,16.073893547058105
dagm,mobilenet_v3_large_pruned,16.073893547058105
dagm,mobilenet_v3_large_pruned,16.073893547058105
dagm,mobilenet_v3_large,16.073893547058105
dagm,mobilenet_v3_large,20.914466857910156
dagm,mobilenet_v3_large,16.073893547058105
dagm,mobilenet_v3_large,20.914466857910156
dagm,mobilenet_v3_large,16.073893547058105
dagm,mobilenet_v3_large,20.914466857910156
dagm,mobilenet_v3_large,16.073893547058105
dagm,mobilenet_v3_large,20.914466857910156
dagm,resnet50_pruned,89.67621231079102
dagm,resnet50_pruned,89.67621231079102
dagm,resnet50_pruned,89.67621231079102
dagm,resnet50_pruned,89.67621231079102
dagm,resnet50,89.67621231079102
dagm,resnet50,97.42004013061523
dagm,resnet50,89.67621231079102
dagm,resnet50,97.42004013061523
dagm,resnet50,89.67621231079102
dagm,resnet50,97.42004013061523
dagm,resnet50,89.67621231079102
dagm,resnet50,97.42004013061523
ksdd,efficientnet_b0_pruned,15.287810325622559
ksdd,efficientnet_b0_pruned,15.287810325622559
ksdd,efficientnet_b0_pruned,15.287810325622559
ksdd,efficientnet_b0_pruned,15.287810325622559
ksdd,efficientnet_b0,15.287810325622559
ksdd,efficientnet_b0,20.171878814697266
ksdd,efficientnet_b0,15.287810325622559
ksdd,efficientnet_b0,20.171878814697266
ksdd,efficientnet_b0,15.287810325622559
ksdd,efficientnet_b0,20.171878814697266
ksdd,efficientnet_b0,15.287810325622559
ksdd,efficientnet_b0,20.171878814697266
ksdd,mobilenet_v3_large_pruned,16.034798622131348
ksdd,mobilenet_v3_large_pruned,16.034798622131348
ksdd,mobilenet_v3_large_pruned,16.034798622131348
ksdd,mobilenet_v3_large_pruned,16.034798622131348
ksdd,mobilenet_v3_large,16.034798622131348
ksdd,mobilenet_v3_large,20.914466857910156
ksdd,mobilenet_v3_large,16.034798622131348
ksdd,mobilenet_v3_large,20.914466857910156
ksdd,mobilenet_v3_large,16.034798622131348
ksdd,mobilenet_v3_large,20.914466857910156
ksdd,mobilenet_v3_large,16.034798622131348
ksdd,mobilenet_v3_large,20.914466857910156
ksdd,resnet50_pruned,89.61368179321289
ksdd,resnet50_pruned,89.61368179321289
ksdd,resnet50_pruned,89.61368179321289
ksdd,resnet50_pruned,89.61368179321289
ksdd,resnet50,89.61368179321289
ksdd,resnet50,97.42004013061523
ksdd,resnet50,89.61368179321289
ksdd,resnet50,97.42004013061523
ksdd,resnet50,89.61368179321289
ksdd,resnet50,97.42004013061523
ksdd,resnet50,89.61368179321289
ksdd,resnet50,97.42004013061523
neu,efficientnet_b0_pruned,15.307358741760254
neu,efficientnet_b0_pruned,15.307358741760254
neu,efficientnet_b0_pruned,15.307358741760254
neu,efficientnet_b0_pruned,15.307358741760254
neu,efficientnet_b0,15.307358741760254
neu,efficientnet_b0,20.171871185302734
neu,efficientnet_b0,15.307358741760254
neu,efficientnet_b0,20.171871185302734
neu,efficientnet_b0,15.307358741760254
neu,efficientnet_b0,20.171871185302734
neu,efficientnet_b0,15.307358741760254
neu,efficientnet_b0,20.171871185302734
neu,mobilenet_v3_large_pruned,16.054347038269043
neu,mobilenet_v3_large_pruned,16.054347038269043
neu,mobilenet_v3_large_pruned,16.054347038269043
neu,mobilenet_v3_large_pruned,16.054347038269043
neu,mobilenet_v3_large,16.054347038269043
neu,mobilenet_v3_large,20.91439437866211
neu,mobilenet_v3_large,16.054347038269043
neu,mobilenet_v3_large,20.91439437866211
neu,mobilenet_v3_large,16.054347038269043
neu,mobilenet_v3_large,20.91439437866211
neu,mobilenet_v3_large,16.054347038269043
neu,mobilenet_v3_large,20.91439437866211
neu,resnet50_pruned,89.64494705200195
neu,resnet50_pruned,89.64494705200195
neu,resnet50_pruned,89.64494705200195
neu,resnet50_pruned,89.64494705200195
neu,resnet50,89.64494705200195
neu,resnet50,97.4200325012207
neu,resnet50,89.64494705200195
neu,resnet50,97.4200325012207
neu,resnet50,89.64494705200195
neu,resnet50,97.4200325012207
neu,resnet50,89.64494705200195
neu,resnet50,97.4200325012207
ksdd,yolo_nano3,11.576769828796387
ksdd,yolo_nano3,11.576769828796387
ksdd,yolo_nano3,11.576769828796387
ksdd,yolo_nano3,11.576769828796387
ksdd,yolo_nano,11.604411125183105
ksdd,yolo_nano,11.604411125183105
ksdd,yolo_nano,11.604411125183105
ksdd,yolo_nano,11.604411125183105
ksdd,yolo_small3,42.552823066711426
ksdd,yolo_small3,42.552823066711426
ksdd,yolo_small3,42.552823066711426
ksdd,yolo_small3,42.552823066711426
ksdd,yolo_small,42.67306423187256
ksdd,yolo_small,42.67306423187256
ksdd,yolo_small,42.67306423187256
ksdd,yolo_small,42.67306423187256
